Spec_Path,Type,JD,EW_cen,EW_left,EW_right,Peak_ratio,Peak_distance
smbxgpP201206270016_cr_cg_wr_01.txt,1,2456105,9.988,,,,
smbxgpP201206270017_cr_cg_wr_01.txt,1,2456105,10.011,,,,
smbxgpP201301240111_cr_cg_wr_01.txt,1,2456316,9.436,,,,
smbxgpP201301240112_cr_cg_wr_01.txt,1,2456316,9.474,,,,
smbxgpP201303060077_cr_cg_wr_01.txt,1,2456357,9.575,,,,
smbxgpP201303060078_cr_cg_wr_01.txt,1,2456357,9.591,,,,
smbxgpP201303230069_cr_cg_wr_01.txt,1,2456374,9.52,,,,
smbxgpP201303230070_cr_cg_wr_01.txt,1,2456374,9.537,,,,
smbxgpP201304270055_cr_cg_wr_01.txt,1,2456409,8.265,,,,
smbxgpP201304270056_cr_cg_wr_01.txt,1,2456409,8.246,,,,
smbxgpP201401200076_cr_cg_wr_01.txt,2,2456677,,,,0.503,5.631
smbxgpP201401200077_cr_cg_wr_01.txt,2,2456677,,,,0.501,5.631
smbxgpP201402160001_cr_cg_wr_01.txt,2,2456704,,,,0.459,4.835
smbxgpP201402160002_cr_cg_wr_01.txt,2,2456704,,,,0.449,4.835
smbxgpP201402270028_cr_cg_wr_01.txt,2,2456715,,,,0.477,4.863
smbxgpP201402270029_cr_cg_wr_01.txt,2,2456715,,,,0.509,4.607
smbxgpP201403100009_cr_cg_wr_01.txt,1,2456726,10.43,,,,
smbxgpP201403100010_cr_cg_wr_01.txt,1,2456726,10.4,,,,
smbxgpP201403220152_cr_cg_wr_01.txt,1,2456738,10.258,,,,
smbxgpP201403220153_cr_cg_wr_01.txt,1,2456738,10.218,,,,
smbxgpP201404050094_cr_cg_wr_01.txt,1,2456752,10.253,,,,
smbxgpP201404050095_cr_cg_wr_01.txt,1,2456752,10.233,,,,
smbxgpP201404160072_cr_cg_wr_01.txt,2,2456763,,,,0.259,5.627
smbxgpP201404160073_cr_cg_wr_01.txt,2,2456763,,,,0.258,5.627
smbxgpP201405030027_cr_cg_wr_01.txt,1,2456780,9.856,,,,
smbxgpP201405030028_cr_cg_wr_01.txt,1,2456780,9.876,,,,
smbxgpP201405110039_cr_cg_wr_01.txt,1,2456788,9.843,,,,
smbxgpP201405110040_cr_cg_wr_01.txt,1,2456788,9.89,,,,
smbxgpP201405140003_cr_cg_wr_01.txt,1,2456791,10.035,,,,
smbxgpP201405140004_cr_cg_wr_01.txt,1,2456791,10.049,,,,
smbxgpP201405170012_cr_cg_wr_01.txt,1,2456794,10.018,,,,
smbxgpP201405170013_cr_cg_wr_01.txt,1,2456794,10.003,,,,
smbxgpP201405310014_cr_cg_wr_01.txt,1,2456808,10.18,,,,
smbxgpP201405310015_cr_cg_wr_01.txt,1,2456808,10.234,,,,
smbxgpP201406100025_cr_cg_wr_01.txt,1,2456818,9.753,,,,
smbxgpP201406100026_cr_cg_wr_01.txt,1,2456818,9.771,,,,
smbxgpP201406130030_cr_cg_wr_01.txt,1,2456821,9.775,,,,
smbxgpP201501150046_cr_cg_wr_01.txt,1,2457037,9.964,,,,
smbxgpP201501150047_cr_cg_wr_01.txt,2,2457037,,,,0.745,3.921
smbxgpP201501200020_cr_cg_wr_01.txt,2,2457042,,,,0.662,3.919
smbxgpP201501200021_cr_cg_wr_01.txt,2,2457042,,,,0.662,3.919
smbxgpP201502030011_cr_cg_wr_01.txt,2,2457056,,,,0.831,3.919
smbxgpP201502030012_cr_cg_wr_01.txt,2,2457056,,,,0.832,3.919
smbxgpP201502110013_cr_cg_wr_01.txt,2,2457064,,,,0.683,4.074
smbxgpP201502110014_cr_cg_wr_01.txt,2,2457064,,,,0.683,4.074
smbxgpP201502190017_cr_cg_wr_01.txt,2,2457072,,,,0.725,3.768
smbxgpP201502190018_cr_cg_wr_01.txt,2,2457072,,,,0.724,3.768
smbxgpP201502250026_cr_cg_wr_01.txt,2,2457078,,,,0.671,4.071
smbxgpP201502250027_cr_cg_wr_01.txt,2,2457078,,,,0.678,4.071
smbxgpP201606010027_cr_cg_wr_01.txt,5,2457540,,,,,
smbxgpP201606170033_cr_cg_wr_01.txt,5,2457556,,,,,
smbxgpP201606180053_cr_cg_wr_01.txt,5,2457557,,,,,
smbxgpP201606240033_cr_cg_wr_01.txt,5,2457563,,,,,
smbxgpP201606290014_cr_cg_wr_01.txt,5,2457568,,,,,
smbxgpP201701250174_cr_cg_wr_01.txt,3,2457778,,,,,
smbxgpP201702150044_cr_cg_wr_01.txt,3,2457799,,,,,
smbxgpP201703140037_cr_cg_wr_01.txt,3,2457826,,,,,
smbxgpP201703310052_cr_cg_wr_01.txt,3,2457843,,,,,
smbxgpP201704130054_cr_cg_wr_01.txt,3,2457856,,,,,
smbxgpP201706050039_cr_cg_wr_01.txt,3,2457909,,,,,
smbxgpP201707010034_cr_cg_wr_01.txt,3,2457935,,,,,
smbxgpP201707110044_cr_cg_wr_01.txt,3,2457945,,,,,
smbxgpP201801160059_cr_cg_wr_01.txt,3,2458134,,,,,
smbxgpP201805230058_cr_cg_wr_01.txt,3,2458261,,,,,
smbxgpP201806250047_cr_cg_wr_01.txt,3,2458294,,,,,
smbxgpP201901270047_cr_cg_wr_01.txt,3,2458510,,,,,
smbxgpP201902060059_cr_cg_wr_01.txt,3,2458520,,,,,
smbxgpP201902160083_cr_cg_wr_01.txt,3,2458530,,,,,
smbxgpP201902260045_cr_cg_wr_01.txt,3,2458540,,,,,
smbxgpP201903110041_cr_cg_wr_01.txt,3,2458553,,,,,
smbxgpP201903220040_cr_cg_wr_01.txt,3,2458564,,,,,
smbxgpP202001120152_cr_cg_wr_01.txt,4,2458860,,,,,
smbxgpP202003180084_cr_cg_wr_01.txt,4,2458926,,,,,
smbxgpP202006030040_cr_cg_wr_01.txt,4,2459003,,,,,
smbxgpP202007010055_cr_cg_wr_01.txt,4,2459031,,,,,
smbxgpP202007280246_cr_cg_wr_01.txt,4,2459058,,,,,
smbxgpP202204010106_cr_cg_wr_01.txt,4,2459670,,,,,
smbxgpP202204010107_cr_cg_wr_01.txt,4,2459670,,,,,
smbxgpP202206190042_cr_cg_wr_01.txt,4,2459749,,,,,
smbxgpP202206190043_cr_cg_wr_01.txt,4,2459749,,,,,
smbxgpP202207130034_cr_cg_wr_01.txt,4,2459773,,,,,
smbxgpP202207130035_cr_cg_wr_01.txt,4,2459773,,,,,
smbxgpP202207270043_cr_cg_wr_01.txt,4,2459787,,,,,
smbxgpP202207270044_cr_cg_wr_01.txt,4,2459787,,,,,
smbxgpP202208040034_cr_cg_wr_01.txt,4,2459795,,,,,
smbxgpP202208040035_cr_cg_wr_01.txt,4,2459795,,,,,
