# Wavelength Flux(Normalised) Flux(Original)
6177.4027  1.000000e+00  5.700016e+04
6177.6591  3.355157e-01  4.161283e+04
6177.9155  4.338412e-02  3.490884e+04
6178.1718  2.795492e-02  3.465635e+04
6178.4282  2.580817e-02  3.470854e+04
6178.6846  1.885291e-02  3.464346e+04
6178.9410  2.824162e-02  3.495490e+04
6179.1974  3.364105e-02  3.516856e+04
6179.4537  1.983811e-02  3.492962e+04
6179.7101  1.462520e-02  3.488681e+04
6179.9665  1.382422e-02  3.494281e+04
6180.2229  1.262686e-02  3.498557e+04
6180.4793  3.508547e-03  3.483968e+04
6180.7357  1.544011e-02  3.518134e+04
6180.9920 -2.095827e-03  3.483186e+04
6181.2484  1.134951e-02  3.520199e+04
6181.5048 -1.072090e-03  3.496530e+04
6181.7612 -5.146217e-03  3.492033e+04
6182.0176 -6.709805e-03  3.493102e+04
6182.2739 -2.002229e-02  3.466474e+04
6182.5303 -1.677994e-02  3.478212e+04
6182.7867 -6.506920e-03  3.506102e+04
6183.0431  4.917356e-04  3.526109e+04
6183.2995  7.232135e-03  3.545283e+04
6183.5559 -1.103350e-02  3.505886e+04
6183.8122 -1.531345e-02  3.498917e+04
6184.0686 -6.252087e-03  3.522884e+04
6184.3250 -4.949691e-03  3.528558e+04
6184.5814 -1.732748e-02  3.502132e+04
6184.8378  4.513111e-03  3.555389e+04
6185.0942 -1.937563e-03  3.542470e+04
6185.3505  9.087815e-04  3.551098e+04
6185.6069 -3.630390e-03  3.542351e+04
6185.8633 -1.136210e-02  3.526023e+04
6186.1197 -1.662820e-02  3.515325e+04
6186.3761 -1.158389e-02  3.528572e+04
6186.6324 -1.570339e-02  3.520327e+04
6186.8888 -1.463784e-02  3.524081e+04
6187.1452 -2.056680e-02  3.511420e+04
6187.4016 -1.075269e-02  3.535410e+04
6187.6580  4.280716e-03  3.571500e+04
6187.9144  5.333447e-03  3.574891e+04
6188.1707 -4.452989e-04  3.562273e+04
6188.4271 -3.880409e-03  3.555063e+04
6188.6835  7.969556e-03  3.583466e+04
6188.9399  1.114698e-02  3.591580e+04
6189.1963  1.383144e-04  3.566545e+04
6189.4526 -4.373027e-03  3.556631e+04
6189.7090 -2.531213e-03  3.561507e+04
6189.9654 -3.440000e-03  3.559934e+04
6190.2218  1.238121e-02  3.597374e+04
6190.4782  1.857522e-02  3.612326e+04
6190.7346  2.352479e-02  3.624356e+04
6190.9909  2.313446e-02  3.623911e+04
6191.2473  1.091222e-02  3.595845e+04
6191.5037  1.990807e-03  3.575473e+04
6191.7601  6.315085e-03  3.586008e+04
6192.0165  2.061597e-02  3.619822e+04
6192.2728  2.462776e-02  3.629629e+04
6192.5292  2.576401e-02  3.632730e+04
6192.7856  1.827319e-02  3.615708e+04
6193.0420  1.492746e-02  3.608369e+04
6193.2984  1.644507e-02  3.612392e+04
6193.5548  7.167532e-03  3.591239e+04
6193.8111  2.574297e-03  3.581034e+04
6194.0675  2.092382e-02  3.624387e+04
6194.3239  1.605814e-02  3.613587e+04
6194.5803  1.711819e-02  3.616639e+04
6194.8367  1.844293e-02  3.620333e+04
6195.0931  2.943943e-03  3.584795e+04
6195.3494 -1.813427e-02  3.536265e+04
6195.6058 -2.359469e-02  3.524209e+04
6195.8622 -4.230755e-02  3.481259e+04
6196.1186 -2.893111e-02  3.513223e+04
6196.3750 -2.836935e-02  3.515316e+04
6196.6313 -2.015975e-02  3.535289e+04
6196.8877 -1.019018e-02  3.559405e+04
6197.1441  9.893551e-03  3.607157e+04
6197.4005  2.675809e-02  3.647434e+04
6197.6569  3.297095e-02  3.662892e+04
6197.9133  1.656562e-02  3.625607e+04
6198.1696  1.443987e-02  3.621682e+04
6198.4260  3.071714e-02  3.660740e+04
6198.6824  1.901900e-02  3.634555e+04
6198.9388  1.591991e-02  3.628475e+04
6199.1952  1.874880e-02  3.636268e+04
6199.4515  1.459757e-02  3.627812e+04
6199.7079  1.026912e-02  3.618982e+04
6199.9643  4.296540e-03  3.606356e+04
6200.2207  6.262725e-03  3.612295e+04
6200.4771 -4.534437e-03  3.588489e+04
6200.7335  1.067205e-02  3.625404e+04
6200.9898  2.042980e-02  3.649643e+04
6201.2462  1.698466e-02  3.643112e+04
6201.5026 -3.760947e-03  3.596249e+04
6201.7590 -1.467963e-02  3.572356e+04
6202.0154 -2.315590e-02  3.554201e+04
6202.2717 -2.907794e-02  3.542045e+04
6202.5281 -5.752293e-02  3.477367e+04
6202.7845 -6.599132e-02  3.459343e+04
6203.0409 -7.325396e-02  3.444170e+04
6203.2973 -6.686796e-02  3.460882e+04
6203.5537 -6.343589e-02  3.470738e+04
6203.8100 -5.247536e-02  3.498196e+04
6204.0664 -4.037074e-02  3.528358e+04
6204.3228 -2.349215e-02  3.569695e+04
6204.5792 -1.911451e-02  3.581893e+04
6204.8356 -1.319642e-02  3.597719e+04
6205.0920 -7.372528e-03  3.613357e+04
6205.3483 -9.724725e-03  3.609947e+04
6205.6047 -7.586053e-03  3.617047e+04
6205.8611 -2.399065e-02  3.580905e+04
6206.1175 -2.266175e-02  3.586174e+04
6206.3739 -2.945341e-03  3.634380e+04
6206.6302  1.287438e-03  3.646481e+04
6206.8866  9.678279e-03  3.668312e+04
6207.1430  1.734594e-02  3.688481e+04
6207.3994  1.575963e-02  3.687080e+04
6207.6558  6.485699e-03  3.667765e+04
6207.9122  4.826446e-03  3.666242e+04
6208.1685 -5.367239e-03  3.644826e+04
6208.4249 -1.034814e-02  3.635596e+04
6208.6813  1.643420e-02  3.700507e+04
6208.9377  2.241999e-02  3.716909e+04
6209.1941  2.158377e-02  3.717411e+04
6209.4504  2.110500e-02  3.718765e+04
6209.7068  1.678410e-02  3.711170e+04
6209.9632  2.216625e-02  3.726235e+04
6210.2196  1.425989e-02  3.710305e+04
6210.4760  2.071277e-02  3.727899e+04
6210.7324  2.198100e-02  3.733407e+04
6210.9887  1.746853e-02  3.725439e+04
6211.2451  3.379477e-04  3.688039e+04
6211.5015 -4.106528e-03  3.680253e+04
6211.7579  1.087364e-02  3.717805e+04
6212.0143 -7.077631e-03  3.678521e+04
6212.2706 -6.738942e-04  3.696078e+04
6212.5270  2.014226e-02  3.747275e+04
6212.7834  2.007150e-02  3.749739e+04
6213.0398  2.115934e-02  3.754912e+04
6213.2962  2.146117e-02  3.758257e+04
6213.5526  2.041395e-03  3.715585e+04
6213.8089  1.370525e-03  3.716668e+04
6214.0653  1.676532e-03  3.720033e+04
6214.3217  1.405324e-03  3.722053e+04
6214.5781  2.068849e-04  3.721911e+04
6214.8345  6.162064e-03  3.738462e+04
6215.0909  9.993134e-03  3.750057e+04
6215.3472  1.119506e-02  3.755515e+04
6215.6036 -1.515806e-03  3.728505e+04
6215.8600 -2.320558e-03  3.729277e+04
6216.1164  8.688211e-03  3.757612e+04
6216.3728  3.330960e-03  3.747752e+04
6216.6291  1.999880e-02  3.789284e+04
6216.8855  2.707506e-02  3.808428e+04
6217.1419  2.464171e-02  3.805375e+04
6217.3983  2.127087e-02  3.800127e+04
6217.6547  1.228161e-02  3.781761e+04
6217.9111  5.471154e-03  3.768471e+04
6218.1674  2.016593e-02  3.805356e+04
6218.4238  3.688069e-02  3.846945e+04
6218.6802  3.016140e-02  3.833840e+04
6218.9366  1.787995e-02  3.807744e+04
6219.1930  1.594418e-02  3.805779e+04
6219.4493  3.084988e-04  3.771833e+04
6219.7057  1.419314e-02  3.806762e+04
6219.9621  7.406319e-03  3.793439e+04
6220.2185  1.596575e-02  3.815915e+04
6220.4749  8.726561e-03  3.801509e+04
6220.7313  8.129916e-05  3.783808e+04
6220.9876 -5.249769e-03  3.773826e+04
6221.2440 -3.608709e-04  3.787677e+04
6221.5004  4.111892e-03  3.800540e+04
6221.7568  7.775169e-03  3.811498e+04
6222.0132  5.237848e-03  3.807970e+04
6222.2695 -1.970326e-02  3.752145e+04
6222.5259 -4.457482e-03  3.790079e+04
6222.7823 -7.337598e-04  3.801108e+04
6223.0387 -8.411739e-03  3.785512e+04
6223.2951 -1.426417e-02  3.774157e+04
6223.5515 -2.287382e-03  3.804388e+04
6223.8078 -7.466209e-04  3.810246e+04
6224.0642  3.282530e-03  3.821891e+04
6224.3206  8.887737e-03  3.837193e+04
6224.5770 -1.206837e-02  3.790493e+04
6224.8334 -8.366993e-03  3.801311e+04
6225.0898 -1.242659e-04  3.822705e+04
6225.3461 -4.255547e-03  3.815202e+04
6225.6025  5.269272e-03  3.839545e+04
6225.8589 -1.260892e-03  3.826400e+04
6226.1153 -2.851292e-02  3.764878e+04
6226.3717  1.608283e-03  3.837216e+04
6226.6280 -3.259217e-05  3.835413e+04
6226.8844 -1.144589e-02  3.810783e+04
6227.1408 -1.387588e-02  3.807093e+04
6227.3972 -1.211267e-02  3.813164e+04
6227.6536 -9.888444e-03  3.820288e+04
6227.9100 -9.108261e-03  3.824019e+04
6228.1663  1.353859e-02  3.878752e+04
6228.4227  1.914745e-02  3.893703e+04
6228.6791 -6.865466e-03  3.834839e+04
6228.9355 -4.393249e-03  3.842422e+04
6229.1919 -3.690251e-03  3.845853e+04
6229.4482 -1.142246e-02  3.829575e+04
6229.7046 -1.172611e-02  3.830608e+04
6229.9610 -9.997008e-03  3.836360e+04
6230.2174  1.893403e-04  3.861823e+04
6230.4738 -6.532652e-03  3.847805e+04
6230.7302 -7.333917e-03  3.847579e+04
6230.9865 -7.937030e-03  3.847790e+04
6231.2429 -2.527171e-03  3.862009e+04
6231.4993  1.138918e-02  3.896054e+04
6231.7557  1.561098e-03  3.874665e+04
6232.0121 -4.229633e-03  3.862673e+04
6232.2684 -1.153889e-02  3.847113e+04
6232.5248 -8.369115e-03  3.855982e+04
6232.7812  3.803900e-03  3.885837e+04
6233.0376  1.380217e-03  3.881605e+04
6233.2940 -3.107800e-03  3.872531e+04
6233.5504 -1.152263e-02  3.854270e+04
6233.8067 -1.141477e-02  3.855873e+04
6234.0631 -1.223809e-03  3.880982e+04
6234.3195 -2.243206e-02  3.832795e+04
6234.5759 -2.198291e-02  3.835123e+04
6234.8323 -2.247414e-02  3.835234e+04
6235.0887 -1.516256e-02  3.853529e+04
6235.3450 -1.081545e-02  3.864882e+04
6235.6014 -5.000238e-03  3.879639e+04
6235.8578 -3.264813e-03  3.884852e+04
6236.1142 -1.839709e-02  3.850681e+04
6236.3706 -3.457407e-02  3.814050e+04
6236.6269 -3.148090e-02  3.822363e+04
6236.8833 -5.103173e-03  3.884990e+04
6237.1397  2.510962e-03  3.903809e+04
6237.3961  7.730521e-03  3.917019e+04
6237.6525 -2.027533e-03  3.895255e+04
6237.9089 -6.987691e-03  3.884667e+04
6238.1652 -5.459183e-03  3.889198e+04
6238.4216 -1.139535e-02  3.876290e+04
6238.6780 -3.700341e-05  3.903718e+04
6238.9344 -3.120570e-03  3.897425e+04
6239.1908 -5.794997e-03  3.892066e+04
6239.4471 -1.574903e-02  3.869699e+04
6239.7035 -1.484179e-02  3.872658e+04
6239.9599 -1.006333e-02  3.884631e+04
6240.2163 -2.582134e-02  3.848662e+04
6240.4727 -1.207426e-03  3.906884e+04
6240.7291 -9.188885e-03  3.889023e+04
6240.9854 -1.531685e-02  3.875470e+04
6241.2418 -3.835837e-03  3.902989e+04
6241.4982  2.360021e-03  3.918158e+04
6241.7546 -7.588002e-03  3.895636e+04
6242.0110 -1.601646e-02  3.876643e+04
6242.2673 -1.081793e-02  3.889431e+04
6242.5237 -1.589561e-02  3.878223e+04
6242.7801 -1.846596e-02  3.872849e+04
6243.0365 -1.077267e-02  3.891410e+04
6243.2929 -1.134589e-02  3.890664e+04
6243.5493 -5.368729e-03  3.905188e+04
6243.8056 -6.134030e-03  3.903963e+04
6244.0620 -1.474104e-02  3.884424e+04
6244.3184 -1.239490e-02  3.890430e+04
6244.5748 -1.941438e-02  3.874566e+04
6244.8312 -3.286699e-02  3.843677e+04
6245.0876 -1.477986e-03  3.917413e+04
6245.3439  2.429131e-03  3.927005e+04
6245.6003 -6.388029e-03  3.906892e+04
6245.8567 -2.808396e-03  3.915695e+04
6246.1131  2.965136e-03  3.929604e+04
6246.3695 -3.954718e-03  3.913880e+04
6246.6258 -1.910567e-02  3.878938e+04
6246.8822 -1.454236e-02  3.889987e+04
6247.1386 -1.871245e-04  3.923875e+04
6247.3950  4.524948e-03  3.935250e+04
6247.6514 -1.398604e-03  3.921795e+04
6247.9078 -4.032628e-03  3.916007e+04
6248.1641 -7.773074e-05  3.925584e+04
6248.4205  4.253230e-03  3.936029e+04
6248.6769 -2.237806e-03  3.921211e+04
6248.9333  1.419377e-02  3.959875e+04
6249.1897  3.941009e-03  3.936261e+04
6249.4460  1.721922e-03  3.931386e+04
6249.7024  1.429784e-03  3.931000e+04
6249.9588 -1.049792e-03  3.925501e+04
6250.2152  1.060716e-04  3.928479e+04
6250.4716  1.100483e-02  3.954185e+04
6250.7280  9.265726e-03  3.950394e+04
6250.9843 -7.799404e-03  3.910832e+04
6251.2407  1.221328e-02  3.957787e+04
6251.4971  2.125245e-02  3.979129e+04
6251.7535  2.101492e-03  3.934683e+04
6252.0099  1.786354e-03  3.934186e+04
6252.2662 -1.561981e-03  3.926607e+04
6252.5226 -5.855727e-03  3.916816e+04
6252.7790 -8.996216e-03  3.909713e+04
6253.0354 -4.193249e-02  3.833077e+04
6253.2918 -4.390957e-03  3.920900e+04
6253.5482 -3.182782e-02  3.857089e+04
6253.8045 -1.869429e-03  3.927211e+04
6254.0609  2.008519e-02  3.978653e+04
6254.3173  1.550907e-02  3.968182e+04
6254.5737  7.067430e-03  3.948688e+04
6254.8301  4.855764e-03  3.943731e+04
6255.0865 -4.153110e-03  3.922911e+04
6255.3428  7.245961e-03  3.949713e+04
6255.5992  4.898482e-03  3.944436e+04
6255.8556  2.453355e-02  3.990456e+04
6256.1120  1.330613e-02  3.964457e+04
6256.3684  1.131285e-02  3.960006e+04
6256.6247  1.570249e-02  3.970451e+04
6256.8811  1.264004e-02  3.963506e+04
6257.1375  2.541811e-02  3.993527e+04
6257.3939  3.260931e-02  4.010512e+04
6257.6503  1.895341e-02  3.978852e+04
6257.9067  3.304351e-02  4.011939e+04
6258.1630  1.395861e-02  3.967613e+04
6258.4194  9.173954e-03  3.956660e+04
6258.6758  1.823009e-02  3.978008e+04
6258.9322  1.712776e-02  3.975653e+04
6259.1886  2.328819e-02  3.990250e+04
6259.4449  1.639299e-02  3.974384e+04
6259.7013  3.003107e-03  3.943366e+04
6259.9577  2.995318e-02  4.006487e+04
6260.2141  3.328950e-02  4.014508e+04
6260.4705  2.359353e-02  3.992123e+04
6260.7269  1.515773e-02  3.972682e+04
6260.9832  1.815361e-02  3.979923e+04
6261.2396  2.705970e-02  4.000961e+04
6261.4960  1.586533e-02  3.975099e+04
6261.7524  2.327023e-02  3.992645e+04
6262.0088  2.836861e-02  4.004814e+04
6262.2651  3.801354e-02  4.027599e+04
6262.5215  3.861947e-02  4.029297e+04
6262.7779  2.617984e-02  4.000559e+04
6263.0343  2.055722e-02  3.987736e+04
6263.2907  2.354717e-02  3.995017e+04
6263.5471  2.314116e-02  3.994380e+04
6263.8034  3.245369e-02  4.016430e+04
6264.0598  3.370059e-02  4.019666e+04
6264.3162  3.284708e-02  4.018007e+04
6264.5726  2.877237e-02  4.008840e+04
6264.8290  4.368474e-02  4.043988e+04
6265.0854  4.796632e-02  4.054337e+04
6265.3417  2.403383e-02  3.998855e+04
6265.5981  1.458190e-02  3.977173e+04
6265.8545  2.131237e-02  3.993262e+04
6266.1109  2.753317e-02  4.008171e+04
6266.3673  3.782801e-02  4.032596e+04
6266.6236  1.810222e-02  3.986975e+04
6266.8800  1.146324e-02  3.971902e+04
6267.1364  1.242999e-02  3.974588e+04
6267.3928  8.635385e-03  3.966171e+04
6267.6492  9.681172e-03  3.969061e+04
6267.9056  4.774970e-03  3.958070e+04
6268.1619 -1.314335e-02  3.916726e+04
6268.4183  4.131693e-03  3.957517e+04
6268.6747  3.198049e-03  3.955827e+04
6268.9311 -1.006608e-02  3.925375e+04
6269.1875 -2.612456e-02  3.888412e+04
6269.4438 -4.921522e-02  3.835050e+04
6269.7002 -6.447726e-02  3.799967e+04
6269.9566 -5.908938e-02  3.813082e+04
6270.2130 -5.814339e-02  3.815844e+04
6270.4694 -5.372152e-02  3.826727e+04
6270.7258 -4.411053e-02  3.849731e+04
6270.9821 -1.595011e-02  3.916032e+04
