# Wavelength Flux(Normalised) Flux(Original)
3847.2827  2.724891e-02  2.819852e+02
3847.6204  3.020814e-02  3.018289e+02
3847.9581  3.652820e-02  3.268373e+02
3848.2958  3.218846e-02  3.321083e+02
3848.6335  3.426066e-02  3.480278e+02
3848.9711  2.767028e-02  3.478182e+02
3849.3088  1.077997e-02  3.285952e+02
3849.6465  1.167608e-02  3.403288e+02
3849.9842  1.178502e-02  3.500170e+02
3850.3219 -1.049204e-02  3.192778e+02
3850.6596 -2.044738e-02  3.098531e+02
3850.9973  5.051666e-03  3.629015e+02
3851.3350  1.341232e-03  3.634601e+02
3851.6727 -4.429322e-03  3.598286e+02
3852.0104 -2.553775e-04  3.733756e+02
3852.3480  7.493831e-03  3.927964e+02
3852.6857 -3.790973e-03  3.779077e+02
3853.0234 -1.986338e-02  3.540625e+02
3853.3611 -6.041165e-03  3.829525e+02
3853.6988  1.835359e-02  4.302377e+02
3854.0365  2.138092e-02  4.391407e+02
3854.3742  1.387289e-02  4.289409e+02
3854.7119  4.846532e-03  4.156896e+02
3855.0496  8.493816e-03  4.246399e+02
3855.3872 -3.381762e-03  4.056686e+02
3855.7249 -1.878656e-02  3.801188e+02
3856.0626 -4.100119e-02  3.421719e+02
3856.4003 -3.717633e-02  3.502558e+02
3856.7380 -1.720720e-02  3.867889e+02
3857.0757 -5.095654e-04  4.172598e+02
3857.4134 -5.593630e-03  4.087668e+02
3857.7511 -1.457038e-02  3.931335e+02
3858.0888 -1.280581e-02  3.963945e+02
3858.4265 -1.361618e-02  3.948831e+02
3858.7641 -2.410843e-02  3.759731e+02
3859.1018 -3.291165e-02  3.598960e+02
3859.4395 -1.882471e-02  3.843626e+02
3859.7772 -1.441161e-02  3.914780e+02
3860.1149 -1.696707e-02  3.860629e+02
3860.4526 -1.216056e-02  3.936098e+02
3860.7903  7.119539e-04  4.153802e+02
3861.1280 -1.397312e-03  4.103996e+02
3861.4657 -1.621979e-02  3.827107e+02
3861.8034 -2.012653e-02  3.743392e+02
3862.1410 -1.030098e-02  3.903019e+02
3862.4787 -2.322406e-03  4.029033e+02
3862.8164  8.403869e-03  4.203215e+02
3863.1541  8.409236e-03  4.186136e+02
3863.4918  4.124196e-04  4.026213e+02
3863.8295  8.468834e-03  4.151268e+02
3864.1672  1.575321e-02  4.262178e+02
3864.5049  7.665469e-03  4.099384e+02
3864.8426  1.912034e-02  4.283804e+02
3865.1802  3.063160e-02  4.468988e+02
3865.5179  2.306984e-02  4.314831e+02
3865.8556  1.857374e-02  4.215057e+02
3866.1933  1.387895e-02  4.111669e+02
3866.5310  4.838673e-03  3.930976e+02
3866.8687  1.187057e-02  4.036093e+02
3867.2064  1.169439e-02  4.013091e+02
3867.5441  6.361227e-03  3.898485e+02
3867.8818  2.457153e-02  4.202668e+02
3868.2195  3.077206e-02  4.293468e+02
3868.5571  1.912276e-02  4.067071e+02
3868.8948  2.933234e-02  4.229615e+02
3869.2325  4.091340e-02  4.416823e+02
3869.5702  1.554771e-02  3.947348e+02
3869.9079  1.245519e-02  3.874272e+02
3870.2456  2.369679e-02  4.056449e+02
3870.5833  2.676092e-02  4.093602e+02
3870.9210  4.530179e-02  4.406375e+02
3871.2587  4.272604e-02  4.344086e+02
3871.5963  2.830872e-02  4.071684e+02
3871.9340  2.612200e-02  4.017243e+02
3872.2717  4.792171e-02  4.389824e+02
3872.6094  4.971726e-02  4.407200e+02
3872.9471  4.163694e-02  4.249489e+02
3873.2848  4.032206e-02  4.212622e+02
3873.6225  3.732954e-02  4.146477e+02
3873.9602  3.642115e-02  4.117958e+02
3874.2979  3.673111e-02  4.111682e+02
3874.6356  2.245149e-02  3.846559e+02
3874.9732  1.488748e-02  3.701450e+02
3875.3109  3.734335e-02  4.090760e+02
3875.6486  5.840416e-02  4.455875e+02
3875.9863  4.235778e-02  4.161764e+02
3876.3240  3.988810e-02  4.109697e+02
3876.6617  4.141329e-02  4.129293e+02
3876.9994  3.817298e-02  4.064779e+02
3877.3371  2.382546e-02  3.803388e+02
3877.6748  2.669468e-02  3.848781e+02
3878.0124  4.995960e-02  4.257488e+02
3878.3501  5.641922e-02  4.367997e+02
3878.6878  1.198847e-02  3.574206e+02
3879.0255 -1.648006e-02  3.064891e+02
3879.3632 -8.826076e-03  3.198542e+02
3879.7009  2.272593e-02  3.757782e+02
3880.0386  2.026355e-02  3.712803e+02
3880.3763 -3.734660e-03  3.285498e+02
3880.7140 -9.235925e-03  3.187728e+02
3881.0517 -1.295746e-02  3.122223e+02
3881.3893  2.020434e-04  3.357510e+02
3881.7270  7.892998e-03  3.496161e+02
3882.0647 -6.597743e-03  3.240978e+02
3882.4024 -1.317223e-04  3.359044e+02
3882.7401  6.577465e-03  3.482023e+02
3883.0778 -1.393459e-02  3.121534e+02
3883.4155 -2.554255e-02  2.919952e+02
3883.7532 -4.778307e-03  3.294583e+02
3884.0909 -6.697470e-03  3.266415e+02
3884.4285 -2.680671e-02  2.915340e+02
3884.7662 -4.436800e-02  2.610115e+02
3885.1039 -5.205696e-02  2.480975e+02
3885.4416 -4.685021e-02  2.581672e+02
3885.7793 -5.534795e-02  2.439191e+02
3886.1170 -5.192231e-02  2.509238e+02
3886.4547 -5.720007e-02  2.425016e+02
3886.7924 -8.344673e-02  1.968411e+02
3887.1301 -8.845118e-02  1.890013e+02
3887.4678 -9.207767e-02  1.836585e+02
3887.8054 -9.446047e-02  1.805728e+02
3888.1431 -8.974012e-02  1.901626e+02
3888.4808 -1.081543e-01  1.586580e+02
3888.8185 -1.235100e-01  1.326342e+02
3889.1562 -1.420773e-01  1.009410e+02
3889.4939 -1.523894e-01  8.396765e+01
3889.8316 -1.174512e-01  1.474979e+02
3890.1693 -1.069879e-01  1.675450e+02
3890.5070 -1.166716e-01  1.518033e+02
3890.8447 -1.209500e-01  1.457094e+02
3891.1823 -1.204629e-01  1.481242e+02
3891.5200 -1.278410e-01  1.365869e+02
3891.8577 -1.321500e-01  1.305396e+02
3892.1954 -1.050843e-01  1.803146e+02
3892.5331 -8.165574e-02  2.236523e+02
3892.8708 -7.760510e-02  2.325613e+02
3893.2085 -7.991812e-02  2.301825e+02
3893.5462 -6.689754e-02  2.550971e+02
3893.8839 -7.422921e-02  2.438471e+02
3894.2215 -8.727749e-02  2.224567e+02
3894.5592 -8.311289e-02  2.316981e+02
3894.8969 -6.264982e-02  2.699442e+02
3895.2346 -3.897405e-02  3.139248e+02
3895.5723 -2.920078e-02  3.332044e+02
3895.9100 -2.104931e-02  3.496196e+02
3896.2477 -8.559186e-03  3.737682e+02
3896.5854  1.042964e-02  4.094902e+02
3896.9231  4.525239e-03  4.009633e+02
3897.2608 -4.420574e-03  3.870433e+02
3897.5984  3.270497e-03  4.027216e+02
3897.9361 -4.003328e-03  3.918024e+02
3898.2738 -1.555116e-02  3.732954e+02
3898.6115 -1.185298e-02  3.819103e+02
3898.9492 -5.814923e-03  3.946964e+02
3899.2869  6.870592e-03  4.193124e+02
3899.6246  1.436130e-02  4.346995e+02
3899.9623  1.384254e-03  4.136981e+02
3900.3000 -4.830906e-03  4.047273e+02
3900.6376  2.114009e-03  4.191636e+02
3900.9753 -1.030969e-02  3.991632e+02
3901.3130 -2.997710e-03  4.142609e+02
3901.6507  7.788406e-03  4.355394e+02
3901.9884  4.150662e-03  4.311715e+02
3902.3261  1.092597e-02  4.453215e+02
3902.6638  8.542745e-03  4.431863e+02
3903.0015 -2.630428e-03  4.254205e+02
3903.3392  1.555863e-02  4.598658e+02
3903.6769  3.693115e-02  4.999702e+02
3904.0145  3.650254e-02  5.013051e+02
3904.3522  2.498791e-02  4.829233e+02
3904.6899  1.678569e-02  4.704277e+02
3905.0276  2.064092e-02  4.793680e+02
3905.3653  8.373132e-03  4.596328e+02
3905.7030  1.957903e-02  4.816326e+02
3906.0407  2.011656e-02  4.846550e+02
3906.3784  3.942295e-03  4.579529e+02
3906.7161  9.544286e-03  4.699655e+02
3907.0537  1.029939e-02  4.733506e+02
3907.3914  2.542361e-02  5.022777e+02
3907.7291  4.501232e-02  5.391338e+02
3908.0668  3.013722e-02  5.146956e+02
3908.4045 -1.652318e-02  4.337256e+02
3908.7422 -2.680995e-02  4.174240e+02
3909.0799 -1.470646e-03  4.644609e+02
3909.4176  2.546029e-02  5.143156e+02
3909.7553  2.578715e-02  5.168496e+02
3910.0930  1.888035e-02  5.065073e+02
3910.4306  2.768199e-02  5.240839e+02
3910.7683  2.129631e-02  5.146399e+02
3911.1060  1.910035e-02  5.126313e+02
3911.4437  3.249417e-02  5.383295e+02
3911.7814  5.172262e-02  5.743872e+02
3912.1191  3.584971e-02  5.480115e+02
3912.4568 -2.073755e-02  4.492208e+02
3912.7945 -4.248565e-02  4.123648e+02
3913.1322 -5.158743e-03  4.805395e+02
3913.4699  2.015843e-02  5.273411e+02
3913.8075  1.200765e-02  5.146121e+02
3914.1452  8.256350e-03  5.096884e+02
3914.4829  5.223352e-03  5.060238e+02
3914.8206 -3.471025e-03  4.922737e+02
3915.1583 -7.081220e-03  4.875458e+02
3915.4960 -7.463175e-03  4.885394e+02
3915.8337  9.768025e-03  5.208339e+02
3916.1714  2.939585e-02  5.573707e+02
3916.5091  3.713602e-02  5.727494e+02
3916.8467  4.404930e-02  5.866381e+02
3917.1844  4.045953e-02  5.818303e+02
3917.5221  5.524978e-02  6.096862e+02
3917.8598  6.564213e-02  6.297015e+02
3918.1975  5.574538e-02  6.136185e+02
3918.5352  4.216274e-02  5.909609e+02
3918.8729  2.067000e-02  5.542172e+02
3919.2106  2.313158e-02  5.600487e+02
3919.5483  3.558941e-02  5.836351e+02
3919.8860  2.208243e-02  5.610302e+02
3920.2236  2.257723e-02  5.633026e+02
3920.5613  1.753627e-02  5.557107e+02
3920.8990  6.264856e-05  5.259902e+02
3921.2367  1.815606e-02  5.594947e+02
3921.5744  3.662498e-02  5.936462e+02
3921.9121  2.671456e-02  5.773126e+02
3922.2498  3.827699e-02  5.991416e+02
3922.5875  4.634412e-02  6.147346e+02
3922.9252  4.457124e-02  6.128094e+02
3923.2628  4.964118e-02  6.230317e+02
3923.6005  5.563572e-02  6.348777e+02
3923.9382  3.546984e-02  6.001846e+02
3924.2759  1.933952e-02  5.726472e+02
3924.6136  3.050660e-02  5.936301e+02
3924.9513  3.704844e-02  6.063683e+02
3925.2890  1.731426e-02  5.723622e+02
3925.6267  1.510090e-02  5.694919e+02
3925.9644  4.013231e-02  6.150487e+02
3926.3021  5.032508e-02  6.341997e+02
3926.6397  3.496720e-02  6.078969e+02
3926.9774  3.077857e-02  6.014359e+02
3927.3151  3.997121e-02  6.187505e+02
3927.6528  1.817667e-02  5.809444e+02
3927.9905  1.668580e-02  5.792236e+02
3928.3282  3.317941e-02  6.094644e+02
3928.6659  4.190737e-02  6.258777e+02
3929.0036  3.162390e-02  6.084664e+02
3929.3413  4.336194e-03  5.608000e+02
3929.6789 -9.469234e-03  5.370901e+02
3930.0166 -4.448988e-03  5.468384e+02
3930.3543  1.192774e-02  5.767635e+02
3930.6920  2.091656e-02  5.935342e+02
3931.0297  1.990341e-02  5.925023e+02
3931.3674  2.528696e-02  6.028282e+02
3931.7051  1.952891e-02  5.933256e+02
3932.0428 -3.676024e-03  5.527825e+02
3932.3805 -2.392652e-04  5.595979e+02
3932.7182  3.303121e-03  5.665853e+02
3933.0558 -1.698692e-02  5.311782e+02
3933.3935 -1.437728e-02  5.364763e+02
3933.7312 -1.354437e-02  5.385999e+02
3934.0689 -3.733588e-02  4.969215e+02
3934.4066 -4.726217e-02  4.798839e+02
3934.7443 -4.398561e-02  4.863096e+02
3935.0820 -3.594362e-02  5.011953e+02
3935.4197 -1.692123e-02  5.355928e+02
3935.7574  7.534549e-03  5.796387e+02
3936.0951  1.638520e-02  5.959224e+02
3936.4327  8.682935e-03  5.827588e+02
3936.7704  2.938814e-02  6.200972e+02
3937.1081  4.685644e-02  6.516675e+02
3937.4458  2.779100e-02  6.182614e+02
3937.7835 -2.399991e-03  5.650601e+02
3938.1212  1.443492e-02  5.954695e+02
3938.4589  1.847470e-02  6.031155e+02
3938.7966  2.352966e-02  6.125560e+02
3939.1343  2.628596e-02  6.178987e+02
3939.4719  3.073348e-03  5.770533e+02
3939.8096 -3.793184e-03  5.652648e+02
3940.1473  8.653565e-03  5.878100e+02
3940.4850 -9.784549e-03  5.554263e+02
3940.8227 -1.409148e-02  5.481620e+02
3941.1604  1.722777e-02  6.042401e+02
3941.4981  2.447504e-02  6.175049e+02
3941.8358  1.503298e-02  6.010847e+02
3942.1735  1.363129e-02  5.989545e+02
3942.5112  1.488939e-02  6.015466e+02
3942.8488  1.570786e-02  6.033501e+02
3943.1865  7.693387e-03  5.894401e+02
3943.5242  7.878480e-03  5.901044e+02
3943.8619  3.148636e-03  5.820228e+02
3944.1996 -3.618837e-03  5.703123e+02
3944.5373  3.606140e-03  5.834778e+02
3944.8750  1.556087e-02  6.050487e+02
3945.2127  1.883147e-02  6.111727e+02
3945.5504  1.701776e-03  5.810162e+02
3945.8880 -7.821819e-03  5.643807e+02
3946.2257  9.979700e-03  5.963312e+02
3946.5634  8.680397e-03  5.943128e+02
3946.9011  2.008088e-02  6.148740e+02
3947.2388  2.919077e-02  6.313591e+02
3947.5765 -5.644578e-03  5.696978e+02
