# Wavelength Flux(Normalised) Flux(Original)
6176.8089  7.179042e-02  2.074350e+04
6177.0653  1.221942e-01  2.095994e+04
6177.3218  1.753907e-01  2.118194e+04
6177.5783  6.400540e-02  2.089249e+04
6177.8347  1.660722e-01  2.125970e+04
6178.0912  8.120837e-02  2.104664e+04
6178.3477  1.174174e-02  2.087853e+04
6178.6041  5.084005e-02  2.104333e+04
6178.8606  1.448986e-02  2.097261e+04
6179.1171  3.221480e-03  2.097706e+04
6179.3735  4.001880e-02  2.112780e+04
6179.6300 -1.873066e-02  2.098121e+04
6179.8865  9.258394e-03  2.110057e+04
6180.1429  6.314848e-02  2.129800e+04
6180.3994  3.045231e-02  2.122605e+04
6180.6559 -7.086057e-03  2.113735e+04
6180.9123  7.602244e-02  2.141971e+04
6181.1688 -5.267819e-02  2.104602e+04
6181.4253 -8.252211e-03  2.120568e+04
6181.6817 -1.733637e-02  2.119854e+04
6181.9382 -8.973174e-02  2.099439e+04
6182.1947 -1.666466e-02  2.123832e+04
6182.4511 -3.292075e-02  2.120501e+04
6182.7076 -3.402686e-02  2.121729e+04
6182.9641 -9.838689e-02  2.103300e+04
6183.2206 -3.251881e-02  2.124999e+04
6183.4770  3.730444e-02  2.147817e+04
6183.7335  6.724311e-02  2.158216e+04
6183.9900 -3.031467e-02  2.129131e+04
6184.2464 -4.181113e-02  2.126550e+04
6184.5029  8.564909e-03  2.143005e+04
6184.7594  4.543413e-03  2.142577e+04
6185.0158 -5.585966e-02  2.124657e+04
6185.2723 -7.392543e-02  2.119753e+04
6185.5288 -2.614538e-02  2.135130e+04
6185.7852 -4.420626e-02  2.130107e+04
6186.0417 -5.797029e-03  2.142477e+04
6186.2982 -9.852360e-02  2.114282e+04
6186.5546  4.988413e-03  2.146672e+04
6186.8111 -2.384337e-02  2.138131e+04
6187.0676 -6.296013e-03  2.143881e+04
6187.3240 -1.777681e-02  2.140627e+04
6187.5805 -9.748615e-02  2.116262e+04
6187.8370  6.001426e-03  2.148469e+04
6188.0934 -3.873525e-02  2.134855e+04
6188.3499 -4.882046e-02  2.131926e+04
6188.6064  5.971669e-02  2.165626e+04
6188.8628  4.697408e-02  2.161839e+04
6189.1193  7.705947e-03  2.149843e+04
6189.3758 -4.194745e-03  2.146290e+04
6189.6322 -1.045710e-02  2.144470e+04
6189.8887 -7.538468e-02  2.124518e+04
6190.1452  4.649132e-02  2.162276e+04
6190.4016  1.068259e-01  2.181018e+04
6190.6581  1.008676e-01  2.179277e+04
6190.9146  2.610453e-02  2.156279e+04
6191.1710  1.363624e-01  2.190449e+04
6191.4275  9.145022e-02  2.176681e+04
6191.6840  1.259933e-01  2.187469e+04
6191.9404  6.356081e-02  2.168303e+04
6192.1969  9.755400e-02  2.178938e+04
6192.4534  1.113048e-01  2.183330e+04
6192.7099  1.073345e-01  2.182259e+04
6192.9663  1.017923e-01  2.180716e+04
6193.2228  1.412179e-01  2.193081e+04
6193.4793  3.096260e-02  2.159215e+04
6193.7357  4.202321e-02  2.162848e+04
6193.9922  1.317055e-01  2.190790e+04
6194.2487  1.092195e-01  2.184095e+04
6194.5051  3.108172e-02  2.160225e+04
6194.7616 -3.204837e-02  2.141011e+04
6195.0181 -9.415885e-02  2.122134e+04
6195.2745 -1.015721e-01  2.120178e+04
6195.5310 -1.084744e-01  2.118402e+04
6195.7875 -4.781775e-02  2.137521e+04
6196.0439 -1.268307e-02  2.148779e+04
6196.3004  4.393192e-03  2.154481e+04
6196.5569  1.087534e-01  2.187175e+04
6196.8133  7.227606e-02  2.176380e+04
6197.0698  1.495625e-01  2.200759e+04
6197.3263  2.511054e-01  2.232657e+04
6197.5827  1.285152e-01  2.195331e+04
6197.8392  9.994043e-02  2.187078e+04
6198.0957  4.050161e-02  2.169315e+04
6198.3521 -5.969297e-02  2.138986e+04
6198.6086  2.027823e-02  2.164348e+04
6198.8651  8.151419e-02  2.183947e+04
6199.1215  1.048587e-01  2.191865e+04
6199.3780  1.585640e-01  2.209190e+04
6199.6345  1.575951e-01  2.209648e+04
6199.8909  8.732289e-02  2.188720e+04
6200.1474  3.301293e-02  2.172749e+04
6200.4039 -3.159584e-02  2.153623e+04
6200.6603 -1.264088e-01  2.125189e+04
6200.9168 -1.565242e-01  2.116771e+04
6201.1733 -2.112486e-01  2.100774e+04
6201.4297 -2.503810e-01  2.089620e+04
6201.6862 -2.507433e-01  2.090469e+04
6201.9427 -3.070569e-01  2.074055e+04
6202.1992 -3.738104e-01  2.054441e+04
6202.4556 -3.318563e-01  2.068437e+04
6202.7121 -3.177185e-01  2.073862e+04
6202.9686 -2.283882e-01  2.102542e+04
6203.2250 -1.799532e-01  2.118610e+04
6203.4815 -2.075638e-01  2.111205e+04
6203.7380 -1.268486e-01  2.137291e+04
6203.9944 -7.235205e-02  2.155298e+04
6204.2509 -9.333340e-02  2.150007e+04
6204.5074 -3.111172e-02  2.170443e+04
6204.7638 -7.431905e-02  2.158326e+04
6205.0203  1.710183e-02  2.187825e+04
6205.2768  3.606075e-02  2.194955e+04
6205.5332  2.610750e-02  2.193171e+04
6205.7897  2.616831e-02  2.194500e+04
6206.0462 -4.241643e-02  2.174638e+04
6206.3026 -7.446446e-03  2.186788e+04
6206.5591  6.654350e-02  2.211012e+04
6206.8156  6.055180e-02  2.210541e+04
6207.0720  3.260780e-02  2.203304e+04
6207.3285  9.717558e-02  2.224665e+04
6207.5850  8.229887e-02  2.221496e+04
6207.8414  4.503418e-02  2.211425e+04
6208.0979  9.088486e-02  2.227047e+04
6208.3544  1.324987e-01  2.241375e+04
6208.6108  2.959028e-02  2.211063e+04
6208.8673  4.688682e-02  2.217903e+04
6209.1238  4.051100e-02  2.217441e+04
6209.3802  5.127246e-02  2.222286e+04
6209.6367  5.027975e-02  2.223510e+04
6209.8932 -1.265512e-02  2.205607e+04
6210.1496 -3.988451e-02  2.198746e+04
6210.4061 -1.314624e-01  2.172013e+04
6210.6626 -2.354670e-02  2.206925e+04
6210.9190 -3.344794e-02  2.205445e+04
6211.1755 -2.825038e-03  2.216493e+04
6211.4320  3.482344e-02  2.229719e+04
6211.6885  8.107699e-02  2.245611e+04
6211.9449  4.178273e-02  2.235078e+04
6212.2014  9.337559e-03  2.226667e+04
6212.4579  5.079505e-03  2.226970e+04
6212.7143  7.146588e-03  2.229232e+04
6212.9708  1.272100e-01  2.267956e+04
6213.2273  5.801404e-02  2.248209e+04
6213.4837  2.785932e-02  2.240528e+04
6213.7402  2.384139e-02  2.240925e+04
6213.9967  2.510776e-02  2.242958e+04
6214.2531  6.965860e-02  2.258366e+04
6214.5096  2.939621e-02  2.247571e+04
6214.7661 -1.393229e-01  2.197088e+04
6215.0225 -1.297862e-01  2.201681e+04
6215.2790 -1.197695e-02  2.239727e+04
6215.5355  8.659486e-02  2.271828e+04
6215.7919  5.739973e-02  2.264454e+04
6216.0484  3.449633e-02  2.259022e+04
6216.3049  1.005980e-01  2.281088e+04
6216.5613  5.860567e-02  2.269755e+04
6216.8178 -3.350217e-02  2.242935e+04
6217.0743  2.499280e-02  2.262644e+04
6217.3307 -1.066006e-03  2.256225e+04
6217.5872 -6.529625e-03  2.256166e+04
6217.8437  1.281854e-01  2.299413e+04
6218.1001  6.087204e-02  2.280236e+04
6218.3566  1.257221e-03  2.263433e+04
6218.6131  1.026844e-01  2.296381e+04
6218.8695  5.729764e-02  2.283963e+04
6219.1260  1.394375e-02  2.272168e+04
6219.3825 -1.088200e-02  2.266090e+04
6219.6389  6.676344e-03  2.273102e+04
6219.8954  3.502239e-02  2.283440e+04
6220.1519  2.232705e-02  2.281090e+04
6220.4083 -2.196177e-02  2.268971e+04
6220.6648  1.139353e-01  2.312516e+04
6220.9213  1.134769e-01  2.313924e+04
6221.1778  5.635804e-02  2.297817e+04
6221.4342  2.539244e-03  2.282721e+04
6221.6907 -9.087578e-02  2.255382e+04
6221.9472 -2.053120e-02  2.278630e+04
6222.2036 -2.493130e-02  2.278775e+04
6222.4601 -5.095048e-02  2.272231e+04
6222.7166 -8.820740e-02  2.262205e+04
6222.9730 -1.045555e-02  2.287702e+04
6223.2295 -2.881891e-02  2.283493e+04
6223.4860  1.119602e-02  2.297310e+04
6223.7424 -1.424412e-02  2.290892e+04
6223.9989 -1.771124e-03  2.296178e+04
6224.2554 -3.511979e-02  2.287295e+04
6224.5118  1.755079e-02  2.304977e+04
6224.7683 -2.408825e-02  2.293509e+04
6225.0248  3.039871e-02  2.311729e+04
6225.2812  2.883498e-02  2.312619e+04
6225.5377 -4.077524e-02  2.292473e+04
6225.7942 -5.075515e-02  2.290739e+04
6226.0506 -2.399132e-02  2.300344e+04
6226.3071 -4.221734e-02  2.296037e+04
6226.5636  3.570455e-02  2.321423e+04
6226.8200  5.635627e-04  2.311864e+04
6227.0765  3.842949e-02  2.324848e+04
6227.3330 -8.953313e-03  2.311480e+04
6227.5894 -8.292841e-02  2.289884e+04
6227.8459 -1.017994e-01  2.285299e+04
6228.1024 -3.668158e-02  2.306650e+04
6228.3588  3.743809e-02  2.330769e+04
6228.6153 -5.558533e-02  2.303233e+04
6228.8718  6.780364e-03  2.323693e+04
6229.1282  1.427480e-02  2.327186e+04
6229.3847  1.772507e-02  2.329416e+04
6229.6412  1.015090e-01  2.356452e+04
6229.8976 -1.878765e-02  2.320421e+04
6230.1541 -3.563825e-02  2.316337e+04
6230.4106 -1.900666e-02  2.322584e+04
6230.6671 -3.016094e-02  2.320232e+04
6230.9235  6.818590e-02  2.351698e+04
6231.1800  4.339704e-02  2.345105e+04
6231.4365  5.216586e-03  2.334361e+04
6231.6929  2.064250e-02  2.340166e+04
6231.9494  4.559366e-03  2.336221e+04
6232.2059 -7.324119e-04  2.335596e+04
6232.4623 -3.442311e-02  2.326183e+04
6232.7188 -1.027655e-02  2.334625e+04
6232.9753 -6.166732e-02  2.319716e+04
6233.2317 -9.197364e-02  2.311306e+04
6233.4882 -1.188289e-01  2.303949e+04
6233.7447 -7.107751e-02  2.319629e+04
6234.0011 -4.096642e-02  2.329845e+04
6234.2576  1.299680e-02  2.347416e+04
6234.5141  1.781191e-01  2.399318e+04
6234.7705  3.028532e-01  2.438728e+04
6235.0270  2.407163e-01  2.420388e+04
6235.2835 -4.900766e-02  2.331717e+04
6235.5399 -9.003546e-02  2.319872e+04
6235.7964 -6.663599e-03  2.346448e+04
6236.0529 -1.536379e-02  2.344564e+04
6236.3093 -5.628734e-02  2.332711e+04
6236.5658  4.506588e-02  2.364803e+04
6236.8223 -4.117317e-02  2.338922e+04
6237.0787  5.953495e-02  2.370789e+04
6237.3352  4.843568e-02  2.368098e+04
6237.5917 -2.597010e-02  2.345835e+04
6237.8481  3.623207e-02  2.365766e+04
6238.1046 -3.139111e-02  2.345573e+04
6238.3611 -2.469106e-02  2.348331e+04
6238.6175 -1.434648e-02  2.352203e+04
6238.8740  3.376577e-02  2.367731e+04
6239.1305 -6.824215e-03  2.355842e+04
6239.3869 -2.766300e-02  2.350042e+04
6239.6434  3.012098e-03  2.360147e+04
6239.8999 -9.813344e-02  2.329512e+04
6240.1564 -1.434819e-01  2.316105e+04
6240.4128 -8.816725e-02  2.333788e+04
6240.6693 -3.089171e-02  2.352066e+04
6240.9258 -6.620786e-02  2.341724e+04
6241.1822 -4.441825e-02  2.349015e+04
6241.4387 -4.111918e-02  2.350583e+04
6241.6952  1.539003e-02  2.368579e+04
6241.9516  5.241399e-02  2.380545e+04
6242.2081  2.523754e-03  2.365647e+04
6242.4646 -5.535894e-02  2.348270e+04
6242.7210 -1.199640e-01  2.328805e+04
6242.9775 -7.028221e-02  2.344640e+04
6243.2340 -5.796547e-02  2.348922e+04
6243.4904 -1.494060e-01  2.321136e+04
6243.7469 -1.300463e-01  2.327575e+04
6244.0034 -6.365468e-02  2.348535e+04
6244.2598 -1.145664e-01  2.333243e+04
6244.5163 -1.536883e-01  2.321585e+04
6244.7728 -1.053001e-01  2.336956e+04
6245.0292  4.642874e-02  2.384246e+04
6245.2857 -2.767675e-03  2.369450e+04
6245.5422 -6.649771e-03  2.368645e+04
6245.7986  9.179312e-02  2.399447e+04
6246.0551  8.615661e-02  2.398085e+04
6246.3116  4.815963e-02  2.386716e+04
6246.5680 -4.772972e-02  2.357453e+04
6246.8245 -7.497865e-02  2.349390e+04
6247.0810 -7.140493e-02  2.350843e+04
6247.3374  1.481784e-02  2.377824e+04
6247.5939  6.402276e-02  2.393361e+04
6247.8504  6.359909e-02  2.393558e+04
6248.1068  4.728987e-02  2.388840e+04
6248.3633  2.480883e-02  2.382209e+04
6248.6198  5.318399e-03  2.376496e+04
6248.8762  2.163870e-02  2.381841e+04
6249.1327  1.480552e-01  2.421196e+04
6249.3892  2.082150e-02  2.382176e+04
6249.6457 -8.544041e-02  2.349630e+04
6249.9021  4.046060e-02  2.388809e+04
6250.1586 -1.327290e-02  2.372482e+04
6250.4151 -1.031298e-01  2.344990e+04
6250.6715 -8.112710e-02  2.352053e+04
6250.9280  2.570185e-03  2.378173e+04
6251.1845  6.897162e-02  2.398945e+04
6251.4409 -3.358541e-02  2.367511e+04
6251.6974 -1.311725e-01  2.337607e+04
6251.9539 -3.658175e-02  2.367077e+04
6252.2103  7.310361e-02  2.401206e+04
6252.4668  1.152475e-01  2.414463e+04
6252.7233  1.412691e-01  2.422736e+04
6252.9797  7.559235e-02  2.402675e+04
6253.2362  4.718189e-02  2.394124e+04
6253.4927  4.210960e-02  2.392781e+04
6253.7491 -4.702006e-02  2.365464e+04
6254.0056 -6.229236e-02  2.360965e+04
6254.2621 -3.520861e-02  2.369549e+04
6254.5185  5.497092e-02  2.397626e+04
6254.7750  1.462651e-01  2.426045e+04
6255.0315  1.406855e-01  2.424532e+04
6255.2879  1.437376e-01  2.425684e+04
6255.5444  1.460454e-01  2.426604e+04
6255.8009  6.158977e-02  2.400717e+04
6256.0573  1.081153e-01  2.415296e+04
6256.3138  1.735220e-02  2.387458e+04
6256.5703  3.349502e-02  2.392648e+04
6256.8267  7.402407e-02  2.405373e+04
6257.0832  1.022134e-01  2.414284e+04
6257.3397  1.024154e-01  2.414548e+04
6257.5961  1.708861e-01  2.435904e+04
6257.8526  7.781950e-02  2.407351e+04
6258.1091  1.609422e-01  2.433234e+04
6258.3655  1.400732e-01  2.426988e+04
6258.6220  2.766055e-02  2.392458e+04
6258.8785  3.065364e-02  2.393586e+04
6259.1350  2.357436e-02  2.391601e+04
6259.3914  1.137736e-01  2.419674e+04
6259.6479  1.767688e-01  2.439342e+04
6259.9044  1.434604e-01  2.429257e+04
6260.1608  1.260870e-01  2.424096e+04
6260.4173  8.638906e-02  2.412039e+04
6260.6738 -2.550048e-02  2.377680e+04
6260.9302  3.056674e-03  2.386715e+04
6261.1867 -1.667826e-02  2.380831e+04
6261.4432  1.167332e-01  2.422266e+04
6261.6996  1.393307e-01  2.429465e+04
6261.9561  6.534784e-02  2.406827e+04
6262.2126  8.624600e-02  2.413506e+04
6262.4690  1.148789e-01  2.422577e+04
6262.7255  1.948284e-01  2.447506e+04
6262.9820  1.150840e-01  2.423097e+04
6263.2384  8.952796e-02  2.415434e+04
6263.4949  3.273607e-02  2.398123e+04
6263.7514  2.831187e-02  2.396995e+04
6264.0078  1.636885e-01  2.439063e+04
6264.2643  1.257395e-01  2.427583e+04
6264.5208 -2.368024e-02  2.381666e+04
6264.7772 -3.412831e-02  2.378690e+04
6265.0337  6.335709e-04  2.389686e+04
6265.2902  4.034900e-02  2.402215e+04
6265.5466 -9.183056e-03  2.387175e+04
6265.8031  8.142846e-02  2.415438e+04
6266.0596  1.010035e-01  2.421756e+04
6266.3160  7.934893e-02  2.415341e+04
6266.5725  1.793232e-02  2.396645e+04
6266.8290  9.913544e-02  2.422017e+04
6267.0854 -9.712467e-03  2.388675e+04
6267.3419 -6.966910e-02  2.370443e+04
6267.5984 -1.340175e-01  2.350859e+04
6267.8548 -9.499141e-02  2.363218e+04
6268.1113 -1.568353e-01  2.344417e+04
6268.3678 -2.649204e-01  2.311334e+04
6268.6242 -3.289300e-01  2.291873e+04
6268.8807 -3.991615e-01  2.270495e+04
6269.1372 -3.249420e-01  2.293753e+04
6269.3937 -3.997814e-01  2.270961e+04
6269.6501 -3.637969e-01  2.282416e+04
6269.9066 -2.686771e-01  2.312146e+04
6270.1631 -2.279587e-01  2.325074e+04
6270.4195 -1.047229e-01  2.363502e+04
6270.6760 -7.690347e-03  2.393840e+04
6270.9325  7.557996e-02  2.419931e+04
6271.1889  6.290118e-02  2.416383e+04
6271.4454 -2.867962e-02  2.388462e+04
6271.7019  5.727221e-02  2.415399e+04
6271.9583 -9.643266e-03  2.395111e+04
6272.2148 -1.841968e-02  2.392792e+04
6272.4713 -7.818867e-03  2.396465e+04
6272.7277  7.081890e-02  2.421166e+04
6272.9842  8.300193e-02  2.425340e+04
6273.2407  1.761832e-01  2.454546e+04
6273.4971  1.500743e-01  2.446901e+04
6273.7536  9.208187e-02  2.429412e+04
6274.0101  1.580458e-01  2.450227e+04
6274.2665  5.979146e-02  2.420311e+04
6274.5230  1.824806e-02  2.407922e+04
6274.7795  1.358238e-02  2.406934e+04
6275.0359 -3.037301e-02  2.393813e+04
6275.2924  1.336462e-02  2.407792e+04
6275.5489 -8.361009e-02  2.378303e+04
6275.8053 -2.710740e-01  2.320862e+04
6276.0618 -4.947514e-01  2.252238e+04
6276.3183 -5.192315e-01  2.245166e+04
6276.5747 -6.721662e-01  2.198413e+04
6276.8312 -8.076209e-01  2.157067e+04
6277.0877 -8.883536e-01  2.132635e+04
6277.3441 -9.724422e-01  2.107172e+04
6277.6006 -1.020997e+00  2.092694e+04
6277.8571 -9.308493e-01  2.121078e+04
6278.1135 -9.947332e-01  2.101877e+04
6278.3700 -8.857032e-01  2.136108e+04
6278.6265 -7.855283e-01  2.167609e+04
6278.8830 -7.669920e-01  2.173893e+04
6279.1394 -8.168167e-01  2.159063e+04
6279.3959 -7.630444e-01  2.176248e+04
6279.6524 -7.910731e-01  2.168165e+04
6279.9088 -7.820331e-01  2.171542e+04
6280.1653 -7.527132e-01  2.181191e+04
6280.4218 -7.081730e-01  2.195550e+04
6280.6782 -8.235205e-01  2.160516e+04
6280.9347 -8.643031e-01  2.148526e+04
6281.1912 -8.830061e-01  2.143364e+04
6281.4476 -1.072911e+00  2.085314e+04
6281.7041 -1.197772e+00  2.047367e+04
6281.9606 -1.218883e+00  2.041482e+04
6282.2170 -1.412752e+00  1.982227e+04
6282.4735 -1.489706e+00  1.959101e+04
6282.7300 -1.591465e+00  1.928318e+04
6282.9864 -1.482931e+00  1.962515e+04
6283.2429 -1.561379e+00  1.938948e+04
6283.4994 -1.540325e+00  1.946129e+04
6283.7558 -1.459587e+00  1.971758e+04
6284.0123 -1.312717e+00  2.017825e+04
6284.2688 -1.275193e+00  2.030115e+04
6284.5252 -1.120556e+00  2.078596e+04
6284.7817 -9.134362e-01  2.143297e+04
6285.0382 -9.525218e-01  2.131937e+04
6285.2946 -8.201223e-01  2.173566e+04
6285.5511 -7.557979e-01  2.194169e+04
6285.8076 -6.591860e-01  2.224753e+04
6286.0640 -5.578282e-01  2.256810e+04
6286.3205 -5.961408e-01  2.245721e+04
6286.5770 -4.784088e-01  2.282850e+04
6286.8334 -3.756107e-01  2.315371e+04
6287.0899 -3.836528e-01  2.313652e+04
6287.3464 -2.101236e-01  2.368039e+04
6287.6028 -2.067012e-01  2.369875e+04
6287.8593 -1.826809e-01  2.378082e+04
6288.1158 -1.983289e-01  2.374038e+04
6288.3723 -1.964246e-01  2.375423e+04
