# Wavelength Flux(Normalised) Flux(Original)
3846.8403  2.082886e-02  3.272251e+02
3847.1780  2.198405e-02  3.518143e+02
3847.5157  1.945664e-02  3.532061e+02
3847.8534  1.188175e-02  3.231973e+02
3848.1911  1.100769e-02  3.327303e+02
3848.5288  1.199348e-02  3.526198e+02
3848.8665  5.441918e-03  3.261801e+02
3849.2042  4.814637e-03  3.346917e+02
3849.5419  4.890996e-03  3.466753e+02
3849.8796  6.523297e-03  3.673048e+02
3850.2173  6.212651e-03  3.754911e+02
3850.5550  1.615916e-03  3.571201e+02
3850.8927  2.365617e-03  3.703571e+02
3851.2304  3.712932e-06  3.641793e+02
3851.5681 -2.443754e-03  3.568765e+02
3851.9058  1.848974e-03  3.896714e+02
3852.2435  5.342302e-03  4.170823e+02
3852.5812  4.053182e-03  4.150928e+02
3852.9189 -2.466960e-03  3.810185e+02
3853.2566 -4.033248e-03  3.763536e+02
3853.5943 -2.106715e-03  3.923017e+02
3853.9320 -9.125255e-03  3.538135e+02
3854.2697 -5.691872e-03  3.779822e+02
3854.6074 -2.039606e-03  4.030649e+02
3854.9451 -4.270991e-03  3.922484e+02
3855.2828 -6.836698e-03  3.790450e+02
3855.6205 -9.108705e-03  3.672632e+02
3855.9582 -1.118593e-02  3.563235e+02
3856.2959 -9.843422e-03  3.657075e+02
3856.6336 -9.681387e-03  3.676666e+02
3856.9713 -1.019051e-02  3.652908e+02
3857.3090 -1.079083e-02  3.620959e+02
3857.6467 -7.693125e-03  3.809672e+02
3857.9844 -5.469818e-03  3.943218e+02
3858.3221 -4.864159e-03  3.976876e+02
3858.6598  4.548098e-03  4.539949e+02
3858.9975  3.745668e-03  4.484518e+02
3859.3352 -2.587941e-03  4.093388e+02
3859.6729 -4.305162e-03  3.979147e+02
3860.0106 -1.949253e-03  4.109125e+02
3860.3483  1.111118e-04  4.219760e+02
3860.6860 -9.996551e-04  4.137603e+02
3861.0237  7.360650e-04  4.225958e+02
3861.3614 -8.807373e-04  4.110782e+02
3861.6991 -3.807257e-03  3.915468e+02
3862.0368 -7.901140e-04  4.077896e+02
3862.3745  1.662358e-03  4.205340e+02
3862.7122 -9.519864e-04  4.026157e+02
3863.0499  6.548604e-04  4.101019e+02
3863.3876  1.647685e-03  4.138173e+02
3863.7253  4.904388e-03  4.311396e+02
3864.0630  2.780207e-03  4.159355e+02
3864.4007 -2.234196e-03  3.832449e+02
3864.7384 -6.250370e-04  3.904961e+02
3865.0761  5.841684e-04  3.953046e+02
3865.4138  2.042371e-03  4.015936e+02
3865.7515  2.925838e-03  4.043975e+02
3866.0892  5.393943e-03  4.167551e+02
3866.4269  6.109999e-03  4.185331e+02
3866.7646  3.107597e-03  3.978683e+02
3867.1023  2.833598e-03  3.936766e+02
3867.4400  1.162867e-02  4.442325e+02
3867.7777  1.274314e-02  4.484463e+02
3868.1154  9.256382e-03  4.249081e+02
3868.4531  4.095613e-03  3.912897e+02
3868.7908  4.831234e-03  3.932869e+02
3869.1285  9.593496e-03  4.196185e+02
3869.4662  9.284398e-03  4.153761e+02
3869.8039  1.059551e-02  4.209506e+02
3870.1416  1.486999e-02  4.444521e+02
3870.4793  1.580822e-02  4.478615e+02
3870.8170  1.131518e-02  4.185369e+02
3871.1547  7.427001e-03  3.929127e+02
3871.4924  6.872313e-03  3.874601e+02
3871.8301  9.404371e-03  4.006924e+02
3872.1678  1.514782e-02  4.333640e+02
3872.5055  1.300494e-02  4.184954e+02
3872.8432  1.157724e-02  4.080038e+02
3873.1809  1.161818e-02  4.064385e+02
3873.5186  1.585895e-02  4.302854e+02
3873.8563  2.086591e-02  4.588220e+02
3874.1940  1.639037e-02  4.301924e+02
3874.5317  8.945826e-03  3.837108e+02
3874.8694  6.548166e-03  3.677590e+02
3875.2071  5.822987e-03  3.619714e+02
3875.5448  6.250325e-03  3.632106e+02
3875.8825  9.300011e-03  3.803485e+02
3876.2202  1.190259e-02  3.948599e+02
3876.5579  1.068452e-02  3.863839e+02
3876.8956  8.545051e-03  3.724196e+02
3877.2333  8.121025e-03  3.688823e+02
3877.5710  9.910936e-03  3.787811e+02
3877.9087  8.572084e-03  3.698697e+02
3878.2464  1.317647e-02  3.969031e+02
3878.5841  1.324338e-02  3.966240e+02
3878.9218  1.114072e-02  3.833240e+02
3879.2595  1.024052e-02  3.773553e+02
3879.5972  9.217041e-03  3.707159e+02
3879.9349  3.708800e-03  3.370814e+02
